hrms-attendance  | {"timestamp": "2026-02-23T12:51:22.786993+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "f755c598-3c37-4f17-bb06-2ea9d7ffc68d", "method": "GET", "path": "/api/v1/attendance", "status_code": 401, "duration_ms": 29.67}
hrms-attendance  | {"timestamp": "2026-02-23T12:51:26.794167+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "c366badb-97c9-4b7f-9108-bdc6a3d86860", "method": "GET", "path": "/api/v1/attendance", "status_code": 401, "duration_ms": 3.93}
hrms-attendance  | {"timestamp": "2026-02-23T12:51:27.105131+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "f544c425-94d4-4ed7-abd9-ef8526f419fd", "method": "GET", "path": "/api/v1/attendance", "status_code": 401, "duration_ms": 3.37}
hrms-attendance  | {"timestamp": "2026-02-23T12:51:36.268463+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "85bfc1c3-8257-43ad-86ab-2de4fe75f11a", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.03}
hrms-attendance  | {"timestamp": "2026-02-23T12:52:06.699692+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "36647b51-b2ca-4b82-962a-6a8a768efc76", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 1.63}
hrms-attendance  | {"timestamp": "2026-02-23T12:52:37.063176+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "ae135a1a-9162-4b56-90b9-fadf504b00e1", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.73}
hrms-attendance  | {"timestamp": "2026-02-23T12:53:07.426122+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "63dbdcfe-ba1f-4692-a537-df71d0295e90", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.45}
hrms-attendance  | {"timestamp": "2026-02-23T12:53:37.802769+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "eeaca884-b02a-4735-9d13-eb6320cb1462", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.58}
hrms-attendance  | {"timestamp": "2026-02-23T12:54:08.137444+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "8a3db327-1962-440a-9319-dfdae4fb1637", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.46}
hrms-attendance  | {"timestamp": "2026-02-23T12:54:38.491500+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "539acdbf-2166-4e50-8522-373d5a0613e7", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.48}
hrms-attendance  | {"timestamp": "2026-02-23T12:55:08.820510+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "42faecc7-7e7b-489e-bb2f-8b94d7281e14", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.47}
hrms-attendance  | {"timestamp": "2026-02-23T12:55:39.162840+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "24bda6bc-fcba-4a20-8d48-c2584d16617e", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.48}
hrms-attendance  | {"timestamp": "2026-02-23T12:56:09.538765+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "d508ca0c-796b-4f5b-b8e4-0656aa99fea6", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.66}
hrms-attendance  | {"timestamp": "2026-02-23T12:56:39.961345+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "367d2712-04a6-4eda-9af0-b9d7a7865bf8", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.76}
hrms-attendance  | {"timestamp": "2026-02-23T12:57:10.361227+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "ed78d7ed-3bc9-4f18-b31e-4da08f31ba5a", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.55}
hrms-attendance  | {"timestamp": "2026-02-23T12:57:40.685841+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "6ba231b5-a549-492e-ac9c-3c9a4c019bae", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.48}
hrms-attendance  | {"timestamp": "2026-02-23T12:58:11.066566+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "62d3cd88-4d4e-4aa6-896e-800a687c8d71", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.49}
hrms-attendance  | {"timestamp": "2026-02-23T12:58:41.400152+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "0f45a533-04ad-4b76-83ae-25f45ab134e7", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.49}
hrms-attendance  | {"timestamp": "2026-02-23T12:59:11.760416+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "fd235963-bea5-41ef-a989-9aa1e30abf00", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.59}
hrms-attendance  | {"timestamp": "2026-02-23T12:59:42.171722+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "3603e9fa-10c5-42f8-9343-f0f491f0e262", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.9}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:12.802919+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "d0cfcccb-2719-4e22-a1f9-34d1f8c87c1f", "method": "GET", "path": "/health", "status_code": 200, "duration_ms": 0.96}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:15.059520+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "c915be48-7108-412b-8f7e-44a5aa34d339", "method": "OPTIONS", "path": "/api/v1/attendance", "status_code": 200, "duration_ms": 1.23}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:15.090455+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "8aa735fb-b873-4197-9f90-0e487359c5a6", "method": "GET", "path": "/api/v1/attendance", "status_code": 401, "duration_ms": 24.21}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:25.379765+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "8f3d0e7a-cd97-4875-ab8b-0344bcfa9997", "method": "OPTIONS", "path": "/api/v1/attendance/geofences", "status_code": 200, "duration_ms": 0.41}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:25.475244+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "147d7331-1112-462d-92fb-2a151b50d687", "method": "POST", "path": "/api/v1/attendance/geofences", "status_code": 401, "duration_ms": 46.06}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:28.134367+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "2f74ea59-4774-4cf7-a033-6c2ed43eba3d", "method": "GET", "path": "/api/v1/attendance/geofences", "status_code": 401, "duration_ms": 1.84}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:30.469821+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "b86de95f-3830-434b-9b98-f8f2d0e2ab3c", "method": "OPTIONS", "path": "/api/v1/attendance/policies", "status_code": 200, "duration_ms": 0.85}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:30.525831+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "1ee949c1-c82f-4d82-b0a9-3b303d9f18d3", "method": "POST", "path": "/api/v1/attendance/policies", "status_code": 401, "duration_ms": 4.45}
hrms-attendance  | {"timestamp": "2026-02-23T13:00:31.808335+00:00", "level": "INFO", "service_name": "attendance-service", "logger": "app.middleware.request_id", "message": "Request completed", "request_id": "7125f410-3088-48f9-a558-e563ae6b6f05", "method": "GET", "path": "/api/v1/attendance/policies", "status_code": 401, "duration_ms": 2.26}
